condition,seed,generation,name,label,detail
vanilla,1,340,OM_ALR,runtime_error,RecursionError: maximum recursion depth exceeded
vanilla,1,341,OPS,unclassified_success,ok
vanilla,1,342,OM_AR_CMA,runtime_error,RecursionError: maximum recursion depth exceeded
vanilla,1,343,OM_CMA,runtime_error,RecursionError: maximum recursion depth exceeded
vanilla,1,344,OMC_AL,runtime_error,RecursionError: maximum recursion depth exceeded
vanilla,1,345,DE_AOB,unclassified_success,ok
vanilla,1,346,OMARC,runtime_error,RecursionError: maximum recursion depth exceeded
vanilla,1,347,OMAR_CMA,runtime_error,RecursionError: maximum recursion depth exceeded
vanilla,1,348,OM_CMA,runtime_error,RecursionError: maximum recursion depth exceeded
vanilla,1,349,OM_CMA,runtime_error,RecursionError: maximum recursion depth exceeded
vanilla,1,351,EGDS,runtime_error,IndexError: index 2 is out of bounds for axis 0 with size 2
vanilla,1,373,AOM_CMA,runtime_error,"ValueError: could not broadcast input array from shape (2,2) into shape (3,2)"
vanilla,1,376,OM_CMA_AM,runtime_error,"ValueError: could not broadcast input array from shape (2,2) into shape (3,2)"
vanilla,1,378,OMAR_CMA,runtime_error,"ValueError: operands could not be broadcast together with shapes (2,2) (3,) "
vanilla,1,382,AIM_CMA,runtime_error,IndexError: boolean index did not match indexed array along axis 0; size of axis is 4 but size of corresponding boolean axis is 6
vanilla,1,386,OMCMAES,runtime_error,IndexError: index 5 is out of bounds for axis 0 with size 5
vanilla,1,390,OMMSS,runtime_error,RecursionError: maximum recursion depth exceeded
vanilla,1,392,OM_CMA,runtime_error,RecursionError: maximum recursion depth exceeded
vanilla,1,395,EGDS,runtime_error,"ValueError: operands could not be broadcast together with shapes (2,2) (3,1) (2,2) "
vanilla,1,396,OM_ALR,runtime_error,IndexError: index 5 is out of bounds for axis 0 with size 5
vanilla,1,407,OMASR,runtime_error,RecursionError: maximum recursion depth exceeded
vanilla,1,411,OTTS,runtime_error,__init__ raised NameError: name 'floor' is not defined
vanilla,1,414,OM_CMA_AL,runtime_error,"ValueError: could not broadcast input array from shape (2,2) into shape (3,2)"
vanilla,1,416,OM_CMA_ASI,runtime_error,IndexError: index 5 is out of bounds for axis 0 with size 5
vanilla,1,418,OB_CMA,runtime_error,"ValueError: could not broadcast input array from shape (2,2) into shape (3,2)"
vanilla,1,423,OMMSS,runtime_error,RecursionError: maximum recursion depth exceeded
vanilla,1,429,OMARC,runtime_error,"ValueError: could not broadcast input array from shape (2,2) into shape (3,2)"
vanilla,1,439,OM_CMA,runtime_error,"ValueError: could not broadcast input array from shape (2,2) into shape (3,2)"
vanilla,1,442,OM_CMA,runtime_error,"ValueError: could not broadcast input array from shape (2,2) into shape (3,2)"
vanilla,1,443,AIM_CMA,runtime_error,"ValueError: could not broadcast input array from shape (2,2) into shape (3,2)"
vanilla,1,449,OMCLS,runtime_error,"ValueError: could not broadcast input array from shape (2,2) into shape (3,2)"
vanilla,1,452,OM_CMA_ALS,runtime_error,RecursionError: maximum recursion depth exceeded
vanilla,1,454,OM_CMA,runtime_error,"ValueError: could not broadcast input array from shape (2,2) into shape (3,2)"
vanilla,1,469,OMCMAADP,runtime_error,RecursionError: maximum recursion depth exceeded
vanilla,1,471,OM_AR_CMA,runtime_error,IndexError: index 5 is out of bounds for axis 0 with size 5
vanilla,1,481,OMCMA_ALR,runtime_error,IndexError: index 5 is out of bounds for axis 0 with size 5
vanilla,1,482,OM_CMA,runtime_error,IndexError: index 2 is out of bounds for axis 1 with size 2
vanilla,1,484,OM_CMA_AM,runtime_error,"ValueError: could not broadcast input array from shape (2,2) into shape (3,2)"
vanilla,1,495,EGDS,runtime_error,IndexError: index 5 is out of bounds for axis 0 with size 5
vanilla,1,496,AIMD,runtime_error,"ValueError: could not broadcast input array from shape (2,2) into shape (0,2)"
vanilla,1,497,GOSM,runtime_error,IndexError: index 4 is out of bounds for axis 1 with size 4
vanilla,2,3,ADS_RCL,unclassified_success,ok
vanilla,2,4,SHGDCA,runtime_error,AttributeError: module 'numpy.random' has no attribute 'cauchy'
vanilla,2,22,SHADE_EVC,runtime_error,AttributeError: module 'numpy.random' has no attribute 'cauchy'
vanilla,2,36,SHADE_CML,runtime_error,AttributeError: module 'numpy.random' has no attribute 'cauchy'
